tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,
2021-12-30 10:34:29,61cd1ab4b4de3e0001e0bf83,KCS-USDT,buy,20.22,3.3785,68.31327,0.13662654,taker,USDT,limit,
2021-12-30 10:34:29,61cd1ab4b4de3e0001e0bf83,KCS-USDT,buy,20.22,1.5572,31.486584,0.062973168,maker,USDT,limit,
2022-01-05 01:54:55,61d489ef4592c20001feb60f,ETH2-ETH,buy,0.9492,0.00969237,0.009199997604,0.000009199997604,taker,ETH,market,
2022-01-06 05:36:28,61d60f5c6d49b90001ce670c,BTC-USDT,buy,43552.9,0.00309821,134.936030309,0.134936030309,taker,USDT,limit,
2022-01-06 05:40:09,61d610396d49b90001d40d93,ETH2-ETH,buy,0.9438,0.016,0.0151008,0.0000151008,taker,ETH,market,
2022-01-06 05:40:09,61d610396d49b90001d40d93,ETH2-ETH,buy,0.9434,0.016,0.0150944,0.0000150944,taker,ETH,market,
2022-01-06 05:40:09,61d610396d49b90001d40d93,ETH2-ETH,buy,0.9443,0.016,0.0151088,0.0000151088,taker,ETH,market,
2022-01-06 05:40:09,61d610396d49b90001d40d93,ETH2-ETH,buy,0.9429,0.00009164,0.000086407356,0.000000086407356,taker,ETH,market,
2022-01-06 05:40:09,61d610396d49b90001d40d93,ETH2-ETH,buy,0.9445,0.06978252,0.06590959014,0.00006590959014,taker,ETH,market,
2022-01-06 05:34:49,61d60ef2ed6968000139f8cd,ETH-USDT,buy,3570,0.015,53.55,0.05355,maker,USDT,limit,
2022-01-06 05:37:03,61d60f7f6d49b90001cf38fb,ETH2-ETH,buy,0.9429,0.01590836,0.014999992644,0.000014999992644,taker,ETH,market,
2022-01-06 18:47:51,61d6c8d77bb8c90001822faf,ETH2-ETH,buy,0.9484,0.0156,0.01479504,0.00001479504,taker,ETH,limit,
2022-01-06 18:47:40,61d6c8cc4d8f3d0001dac345,ETH-USDT,buy,3356.26,0.01,33.5626,0.0335626,taker,USDT,limit,
2022-01-06 18:47:40,61d6c8cc4d8f3d0001dac345,ETH-USDT,buy,3356.26,0.0048793,16.376199418,0.016376199418,taker,USDT,limit,
2022-01-07 21:56:05,61d84675c36c2c0001ac3933,ETH-USDT,buy,3157.04,0.0078263,24.707942152,0.024707942152,taker,USDT,limit,
2022-01-07 21:56:05,61d84675c36c2c0001ac3933,ETH-USDT,buy,3157.04,0.008,25.25632,0.02525632,taker,USDT,limit,
2022-01-07 21:56:17,61d846811689f20001943813,ETH2-ETH,buy,0.941,0.016,0.015056,0.000015056,taker,ETH,limit,
2022-01-08 05:41:57,61d846811689f20001943813,ETH2-ETH,buy,0.941,0.0008,0.0007528,0.0000007528,maker,ETH,limit,
2022-01-09 21:26:36,61dae28cd48b1e0001851c42,XMR-USDT,buy,193.85,0.6278,121.69903,0.12169903,taker,USDT,limit,
2022-01-09 21:26:36,61dae28cd48b1e0001851c42,XMR-USDT,buy,193.83,0.2122,41.130726,0.041130726,taker,USDT,limit,
2022-01-11 01:52:20,61dc72535217320001fbd40e,ETH2-ETH,buy,0.9417,0.0195,0.01836315,0.00001836315,taker,ETH,limit,
2022-01-11 01:17:21,61dc6a215217320001cdb8fd,SOL-USDT,buy,135.25,0.7504,101.4916,0.1014916,maker,USDT,limit,
2022-01-11 01:16:23,61dc69dc9acfe100019e3a4c,KCS-USDT,buy,19.099,3,57.297,0.114594,maker,USDT,limit,
2022-01-11 01:27:08,61dc69b5d48b1e00013f0e59,ETH-USDT,buy,3000,0.017,51,0.051,maker,USDT,limit,
2022-01-17 05:54:59,61e493da8175f00001a351bd,BTC-USDT,buy,43000,0.00000654,0.28122,0.00028122,maker,USDT,limit,
2022-01-17 05:54:59,61e493da8175f00001a351bd,BTC-USDT,buy,43000,0.00116,49.88,0.04988,maker,USDT,limit,
2022-01-18 05:53:35,61e5e55f4b81fa00015ac912,ETH2-ETH,buy,0.9387,0.0336,0.03154032,0.00003154032,taker,ETH,limit,
2022-01-18 05:53:26,61e5e5544b81fa00015a890c,ETH-USDT,buy,3160,0.0316139,99.899924,0.099899924,maker,USDT,limit,
2022-01-20 21:02:22,61e95d5ebc8e03000138a382,SOL-USDT,buy,137.577,0.0115,1.5821355,0.0015821355,taker,USDT,limit,
